#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
21.985922,30,226.025269
22.402046,30,226.446217
23.446841,30,226.862667
22.053549,30,227.268621
23.050303,30,227.684613
21.752898,30,228.102119
22.219913,30,228.676035
2.633333,4,228.738546
22.286883,30,229.151804
23.585996,30,229.565904
15.786425,21,229.860529
2.433333,4,229.918355
21.953555,30,230.348996
22.916126,30,230.760237
21.118987,30,231.173436
22.420221,30,231.606186
22.66933,30,232.034918
9.049458,12,232.209502
23.717861,30,232.635185
14.417558,20,232.921651
22.820221,30,233.345422
22.419558,30,233.763094
14.064401,19,234.029875
21.90035,30,234.444833
17.486887,24,234.773278
23.820221,30,235.190274
22.020221,30,235.621697
3.417518,5,235.697329
20.500045,28,236.086064
10.827877,14,236.284701
2.779825,4,236.341619
5.330677,7,236.446443
21.78658,30,236.866882
22.686888,30,237.305345
23.16871,30,237.728313
21.353549,30,238.138275
21.653506,30,238.556536
22.420221,30,238.980699
21.086842,30,239.394529
22.66933,30,239.806371
22.669324,30,240.215291
4.866051,7,240.315014
21.619871,30,240.733918
8.153555,12,240.903928
22.42022,30,241.321237
14.078467,20,241.594942
22.918986,30,242.012674
21.086888,30,242.432723
9.932723,13,242.614452
12.800847,18,242.865889
21.200046,30,243.43334
24.513112,30,243.884851
7.353508,11,244.038895
23.217864,30,244.45932
2.486321,4,244.521018
18.396755,24,244.865806
22.420221,30,245.271574
6.619779,8,245.386661
22.916126,30,245.799215
22.385598,30,246.209918
21.086265,30,246.629382
22.653548,30,247.047355
11.313118,14,247.24281
22.352033,30,247.671392
23.353555,30,248.093645
22.285988,30,248.501052
23.352619,30,248.913078
22.417552,30,249.329332
22.700879,30,249.751985
21.884469,30,250.165685
6.246452,8,250.28059
22.686538,30,250.696818
23.086888,30,251.133696
22.052921,30,251.548294
3.780135,5,251.620676
22.286265,30,252.045496
22.568354,30,252.464105
6.93299,10,252.610959
21.886258,30,253.028928
21.620221,30,253.454044
14.931067,22,253.771958
23.486265,30,254.184862
4.530671,6,254.280095
20.819598,30,254.719991
18.582396,23,255.045225
25.352576,30,255.468492
10.8,16,255.694076
5.515774,7,255.794989
22.686888,30,256.22836
22.55325,30,256.654304
10.820178,17,256.899501
22.186888,30,257.33062
20.953555,30,257.931998
23.185994,30,258.353144
20.553555,30,258.780937
24.417564,30,259.201909
16.150619,22,259.512262
17.152931,23,259.844954
21.386887,30,260.403883
23.353554,30,260.885021
22.551099,30,261.326153
22.852926,30,261.825206
17.180887,23,262.269403
1.846796,3,262.316465
19.366971,26,262.813691
6.052626,9,262.958163
17.769323,25,263.423045
14.415779,20,263.742986
23.22022,30,264.251849
20.852034,30,264.736866
24.150316,30,265.197572
21.920175,30,265.722583
5.95304,8,265.864708
15.513118,19,266.1557
17.520216,23,266.499775
23.486542,30,266.920037
19.330398,28,267.329834
12.618965,17,267.59199
23.220221,30,268.049211
22.020221,30,268.498423
10.968092,15,268.726752
21.634707,29,269.236808
23.285987,30,269.669481
2.046796,3,269.717337
22.664004,30,270.142509
11.719749,15,270.369056
23.62022,30,270.783863
4.686881,7,270.892709
18.667402,27,271.267385
21.186888,30,271.685064
16.000351,22,272.00686
22.052038,30,272.435926
23.069329,30,272.868527
22.485608,30,273.291218
2.98436,4,273.350688
22.202663,30,273.968271
22.553555,30,274.3876
21.684792,30,274.810834
23.519582,30,275.233109
21.620221,30,275.642081
20.953555,30,276.105916
22.686844,30,276.615901
22.051241,30,277.050788
6.068238,8,277.1751
21.818977,30,277.616776
